,企業名,キャッチコピー,ステータス,初年度年収
146,株式会社一条工務店 | 戸建注文住宅の販売棟数No.1★コロナ禍でも受注数2019年比110％,商品力No.1だから年収1000万円が狙える【営業・販売】 正社員,正社員,450万円～800万円
147,株式会社ネクシード | 賞与1回で200万円も可能！在籍する社員の100％が未経験から入社,応募資格を満たす方は全員面接を保証します！未経験歓迎【営業】 正社員,正社員,300万円～800万円
148,株式会社アイエスエフネット | ★在宅勤務OK★完全週休2日★平均残業7.8h★インセンMAX60％,月35万～【ITエンジニア】★有給消化81％★年休126日／学歴不問 正社員,正社員,450万円～1000万円
149,DSP株式会社 | 入社半年で月収100万円以上の社員多数/大阪府緊急雇用対策に賛同,アニメやスポーツ番組の【反響営業】完全週休2日★学歴不問！ 正社員,正社員,400万円～1000万円
150,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",京都での新スタートを応援【タクシードライバー】年休120日以上 正社員,正社員,
151,東京エムケイ株式会社 | 【平均年収817万円】有給取得率80％超◆男性の育休/時短勤務実績,年収1000万円も可能！【高級車ハイヤーのドライバー】※高卒以上 正社員,正社員,450万円～550万円
152,ジャパニアス株式会社 | ◇日本ディープラーニング協会加盟◇時間外100％支給◇転勤なし,大手中心に200社以上と取引【モノづくりエンジニア】★年休125日 正社員,正社員,380万円～900万円
153,株式会社LUXSIA | ■九電工提携業務で安心■ 新規オフィス出店予定/ポストご用意,成長企業で活躍できる！【 提案営業 】未経験者歓迎/転勤なし 正社員,正社員,400万円～1000万円
154,エーアイアールグループ合同募集 | ★中途採用者活躍中 ★平均年齢29歳 ★残業少なめ ★研修充実,【ルームアドバイザー】★1年目で月収85万円以上可 ★8月入社OK 正社員,正社員,450万円～1000万円
155,アプライド マテリアルズ ジャパン株式会社 | 「初任給が高い」未上場企業ランキング第2位,【保守修理スタッフ】学歴不問/社会人経験者募集◆年間休日123日 正社員,正社員,
156,株式会社エンパワー | ◆買取専門店「大吉」◆ 4年連続「ベストベンチャー100」選出！,【買取スタッフ】20代で年収1000万円以上可！月残業は10h以内！ 正社員,正社員,400万円～700万円
157,株式会社ビッグモーター | 業界No.1◆インセンあり／年収800万円以上可能／残業少なめ,月収50万円以上可能【自動車整備スタッフ】*未経験歓迎*45歳以下 正社員,正社員,300万円～1000万円
158,株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,微経験(入社時)から年276万円UP実績有【ITエンジニア】高卒以上 正社員,正社員,306万円～1000万円
159,株式会社アイエスエフネット | ★在宅勤務OK★年休126日★平均残業7.8h★インセンMAX60％,(入社時)年収750万円⇒864万円にUP実績有【インフラエンジニア】 正社員,正社員,480万円～1000万円
160,株式会社アイネスト | #夏季休暇9連休＆年末年始休暇17連休 #有給取得率100%,「作品」と呼ぶにふさわしい邸宅をプロデュースする【用地仕入】 正社員,正社員,480万円～800万円
161,"株式会社ゴールドファステート | 【社員の平均年収は1,000万円超え】※大阪府緊急雇用対策に賛同",稼ぎたい方歓迎！月給30万円以上【住まいのアドバイザー】 正社員,正社員,450万円～2000万円
162,株式会社砂建 | 【月給22万円以上！完全週休2日制（土日）の働き方も選べます】,収入も環境面も安心！【メンテナンス】残業ほぼなし／社員寮あり 正社員,正社員,
163,株式会社EIDAIホールディングス | 【総合不動産プロデュース企業】賞与連続支給中！,商業施設などに導入するシステムの【企画営業】年間休日122日 正社員,正社員,350万円～600万円
164,DSP株式会社 | 初年度年収450万円以上可/産休育休有/大阪府緊急雇用対策に賛同,【総合職(営業/広報/人事/総務など)】やりたいことが見つかる♪ 正社員,正社員,400万円～1000万円
165,株式会社ビッグモーター | 月給23万9800円～/月8～10日休/土日休OK/賞与年2回/残業ほぼなし,【サービスフロント(受付事務)】未経験歓迎★高卒以上★転勤なし 正社員,正社員,300万円～550万円
166,株式会社ビッグモーター | 業界No.1◆月給23万9800円～☆残業ほぼなし☆面接1回,未経験からはじめる【フロントスタッフ(受付・事務)】*学歴不問 正社員,正社員,300万円～550万円
167,ケイアイスター不動産株式会社 | 【東証一部上場】CM放映中！昨年も30店舗規模で拡大中の安定企業,買い取る!?【法人営業】未経験歓迎！完全週休2日制／残業月20ｈ 正社員,正社員,400万円～700万円
168,株式会社ワールドコンストラクション | 東証一部上場ワールドホールディングス・グループ,【施工管理・施工図設計】◆地元で働ける◆ブランクOK 正社員,正社員,
169,ミライズライフ株式会社 | 設立5年で『60名で100億円企業』へ◆年収1000万円は通過点。,平等に人生を謳歌する権利がある。【営業】を通して明るい未来を 正社員,正社員,500万円～2000万円
170,株式会社ＫＯＧＡＯ | ★芸能人も多数来店 ★メディアで話題のSpeed小顔,【店舗スタッフ(受付等)】★原則定時退社 ★即月給30万円も可能 正社員,正社員,350万円～600万円
171,メットライフ生命保険株式会社 | 【大阪府緊急雇用対策に賛同】◆賞与年4回／完全週休2日制(土日),未経験歓迎！【コンサルティング営業】環境&収入ともに抜群◎ 正社員,正社員,
172,株式会社ライフサポート | 水道局指定工事店★業務委託で働くメリットを公開！平均月収48万,【水まわりメンテナンス・営業】★完全反響型★直行直帰 業務委託,業務委託,300万円～600万円
173,株式会社エネクスコンサルティング | 【 ENEX Holding Co. 】土日祝休みの完全週休2日制 ※若手活躍中,”カッコいい自分”になりたいなら今が転機です！【 法人営業 】 正社員,正社員,300万円～600万円
174,株式会社マーキュリー | 借地・底地のリーディングカンパニー◆年3回×7~10日の連休あり,仕入れ・企画・販売まで裁量広く活躍！【不動産営業】★土日祝休 正社員,正社員,380万円～600万円
175,株式会社FEC | ＼20代・30代活躍中／原則定時退社★年間休日120日★高い集客力,100％反響対応の【不動産営業】未経験OK★月給27万円以上＋賞与 正社員,正社員,350万円～1000万円
176,株式会社UPSTART | 設立3年で5名から120名に！営業アウトソーシング急成長企業！,【営業】平均年齢25歳☆未経験歓迎！無料の寮完備！月給30万円～ 正社員,正社員,360万円～1000万円
177,株式会社オリエンタル | ★初年度年収1000万円も目指せる！スピーディーな昇格あり！,入社1年目で月収70万円の実績も★【営業・バイヤー】未経験歓迎 正社員,正社員,350万円～800万円
178,エナジーサプライ株式会社 | ★新拠点のスターティング募集★【大阪府緊急雇用対策に賛同】,国が推奨する事業の【営業スタッフ】年間休日125日★育成枠採用 正社員,正社員,350万円～1600万円
179,株式会社アーバン・ウェブ | ★テレワーク導入中　★有給消化ほぼ100％で実質140日休み,【システムエンジニア】★経験者は前職給与保証 正社員,正社員,360万円～750万円
180,株式会社チェンジ | 今期も業績好調◎グループ連結で21期連続増収増益を更新中！,Web・アプリの【提案営業】★未経験OK★年収1000万円以上も 正社員,正社員,300万円～700万円
181,株式会社HIPOWER　 | 年休120日超/残業20h程度/臨時ボーナス平均月8~15万円/昇給年4回,ガッツリ稼げる！高インセンの【営業職】月給30万円スタートも 正社員,正社員,360万円～1000万円
182,有限会社竹内工業 | 岡山密着！高い技術力が自慢のエキスパート集団,【土木技術スタッフ】★未経験OK／賞与実績4～7ヶ月！ 正社員,正社員,280万円～650万円
183,KUROFUNE＆PARTNERS株式会社 | ★2020年7月 札幌NEW営業所開設★ ☆オープニングスタッフ募集☆,#未経験歓迎 #月給30万円～ #車通勤OK #札幌限定募集【営業】 正社員,正社員,500万円～700万円
184,ネットシステム株式会社 | ＊プライベートも充実！　＊産育休復帰実績＆時短勤務あり♪,年休126日＊土日休み【総合職（営業・カスタマーサポート）】 正社員,正社員,
185,朝日ソーラー株式会社 | 【大阪府緊急雇用対策に賛同】完全週休2日制導入で働きやすさUP,"【 営業 】▼「年収1,000万円以上」も十分に目指せます！ 正社員",正社員,450万円～1500万円
186,株式会社翔陽 | 安定事業で高収入が目指せる♪入社1年目で月収70万円の社員も！,《横浜・福岡》限定採用♪【営業・バイヤー】土日休み／転勤なし 正社員,正社員,350万円～800万円
187,KUROFUNE＆PARTNERS株式会社 | #入社1年目全員が年収500万円以上の実績 #社用車支給 #転勤なし,【営業】#未経験歓迎 #月給30万円スタート #車通勤OK #全国募集 正社員,正社員,500万円～700万円
188,株式会社成和工業 | #大阪府緊急雇用対策に賛同#年休120日#完全週休2日(土日祝休み),【営業系総合職(提案/現地調査など)】※賞与4～7ヶ月の実績あり 正社員,正社員,300万円～600万円
189,株式会社プラウドリンク | 【プラウドグループ】*経験を正当評価した給与を提示*年休125日,★前職給与保証★フリーランスのように働ける【ITエンジニア】 正社員,正社員,200万円～1000万円
190,株式会社レプラスワールド | ※大阪府緊急雇用対策に賛同※残業基本無し・急拡大中！,【提案営業】弊社では残業ほぼなしで年収1000万円が可能です！！ 正社員,正社員,420万円～1500万円
191,株式会社アローペイント | 残業ほぼなし◆転勤なし◆自由な社風◆安定成長企業で活躍,【提案営業】自分のスタイルで活躍！初年度年収1000万円以上も可 正社員,正社員,600万円～1000万円
192,株式会社エムテック | ＼大手直・長期案件多数／◆高収入 ◆残業月15h ◆完全土日休,前給保証！在宅ワーク実施中★【ITエンジニア】◎未経験OK！ 正社員,正社員,450万円～750万円
193,株式会社京栄コンサルティング | 採用コンサルタント|名駅徒歩5分|年収例:720万円/25歳/入社4年目,【 法人営業 】急成長中のベンチャー企業／平均年齢26歳 正社員,正社員,350万円～550万円
194,KUROFUNE＆PARTNERS株式会社 | #入社1年目全員が未経験で年収500万円以上の実績 #金沢限定募集,【買取査定スタッフ】#未経験歓迎 #オープニングスタッフ募集 正社員,正社員,500万円～700万円
195,エフエルシープレミアム株式会社 | 【大阪府緊急雇用対策に賛同】東証二部上場企業のグループ！,【総合職(営業・内勤営業・販売・企画)】★未経験者歓迎！ 正社員,正社員,400万円～1000万円
196,株式会社東京都心ハウジング | *コロナ禍でも安定成長中の不動産総合企業*女性活躍中*面接1回！,【総合職(仕入れ・売買・賃貸)】☆未経験歓迎☆月給30万円～ 正社員,正社員,350万円～1000万円
197,株式会社吉安建設 | ＜ 大正5年創業 ＞ 熊本のまちづくりと発展を支えてきた実績,【施工管理（土木/建築）】★昇給年2回 ★賞与年3回 ★転勤なし 正社員,正社員,
198,BSCモーゲージバンク株式会社 | 【ARUHIのフランチャイズとして圧倒的なシェア！】★完全週休2日,正当評価◎ 未経験でも年収2000万円をフェアに目指せる【営業】 正社員,正社員,
199,株式会社ニチリョク | JASDAQ上場企業◆完全週休2日制◆原則定時退社◆退職金制度あり,★平均月給60万円★【提案営業】☆未経験OK★フレックスタイム制 正社員,正社員,400万円～1000万円
200,株式会社駅前不動産 | 店長の平均年収は550万円以上！コロナ禍でも減給など一切ナシ◎,東証一部上場のリログループの一員！【 賃貸仲介スタッフ 】 正社員,正社員,
201,クラウンコンサルティング株式会社 | ビジネスマッチングサイト『ビジェント』を運営する急成長企業！,【メディアプランナー(広告営業)】テレワーク推奨／フレックス 正社員,正社員,300万円～550万円
202,株式会社パイプマン | ★名古屋・岡崎募集★応募者全員と面接を行う予定★若手積極採用,プライベートとの両立が叶う【作業スタッフ】◆残業少なめ 正社員,正社員,300万円～1020万円
203,株式会社ガーヴェラ | ◆月給27万スタート！◆高率歩合給◆不動産経験者優遇,成果に繋がるノウハウを伝授【中古マンション売買仲介】 正社員,正社員,400万円～1000万円
204,ロイヤルハウジング株式会社 | 【創業47年／ロイヤルグループ】昨対比売上150％以上！,高収入を目指せる【売買仲介営業】★業績賞与年3回★100％反響 正社員,正社員,480万円～1000万円
205,日本キャリアグループ株式会社 | ★Web面接OK★ 完全週休2日制/年休120日以上/残業月平均20H以内,働く環境を選んで活躍する！【営業職（コーディネーター）】 正社員,正社員,300万円～720万円
206,株式会社アースインフィニティ | 【事業拡大！オープニング採用も開始】大阪府緊急雇用対策に賛同,新電力を扱う上場企業【法人営業】未経験OK/賞与100万円以上も可 正社員,正社員,350万円～1000万円
207,株式会社インディペンデントインキュベータ | 全国10拠点展開／育成前提の採用／土日祝休み／賞与年3回支給,"年収1,000万円超の社員多数！【オフィスプランナー】※転勤なし 正社員",正社員,
208,株式会社イマス | 40歳未満の方は全員面接します！★賞与年2回＋特別賞与★土日休,＼昇進×固定給UPで、安定して稼げる／【企画営業】※年休120日 正社員,正社員,300万円～800万円
209,テレック株式会社 | 土日祝休みOK／産・育休完備／入社2年目で月給34万円も可能,【受付】★週休3日・年休156日・原則定時退社・月給23万円以上★ 正社員,正社員,350万円～550万円
210,"株式会社フレックス | 八尾,東大阪,大東限定募集/創業約60年/大阪府緊急雇用対策に賛同",大阪ガスグループで活躍★【ライフアドバイザー】※土日祝休 正社員,正社員,350万円～500万円
211,i-CREW株式会社 | 【入社2年目以降に年収800万超も可能】即日内定もOK！,大手空調メーカーの【メンテナンス】未経験OK／残業ほぼなし 正社員,正社員,
212,積水ハウス不動産関西株式会社 | 業界経験者にも選ばれる安心の職場【大阪府緊急雇用対策に賛同】,宅建を活かして活躍！【賃貸管理】土日祝休／年休129日／賞与3回 正社員,正社員,400万円～700万円
213,株式会社ジャパンエコテクニカルズ | 完全週休2日制｜賞与年3回｜天神勤務｜残業月平均10時間程度,パナソニック等の有名商品を提案【PR・営業スタッフ】※未経験OK 正社員,正社員,
214,大和総合住設株式会社 | 賞与年4回支給！正当な評価制度アリ★月収200万円も目指せます,完全週休2日制&朝はゆっくり13時出社♪【提案営業】※福岡勤務 正社員,正社員,350万円～800万円
215,株式会社ARIKI | 月給27万円＆賞与年3回／スピード昇格◎／新日本住設グループ,★広島募集＆転勤なし★【営業】条件に合う方全員と面接します 正社員,正社員,500万円～800万円
216,株式会社PENTAGON | 月給27万円＆賞与年3回／スピード昇格◎／新日本住設グループ,★大阪・滋賀・高松募集★【営業】条件に合う方全員と面接します 正社員,正社員,500万円～800万円
217,株式会社エージェントゲート | Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数,【プログラマ】*ずっとPGを続けて収入UP*全員面談*土日祝休み 正社員,正社員,264万円～600万円
218,株式会社ARIKI | 月給27万円＆賞与年3回／スピード昇格◎／新日本住設グループ,★名古屋限定★【営業】条件に合う方全員と面接／年収1000万円可 正社員,正社員,500万円～800万円
219,株式会社PENTAGON | 月給27万円＆賞与年3回／スピード昇格◎／新日本住設グループ,★仙台募集＆転勤なし★【営業】条件に合う方全員と面接します 正社員,正社員,400万円～800万円
220,株式会社エージェントゲート | ★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,【ITサポートスタッフ】年休130日以上＆残業なし☆全員面談☆ 正社員,正社員,264万円～600万円
221,大和総合住設株式会社 | ★賞与年4回支給★ 月収200万円以上も目指せます！,＼沖縄勤務／完全週休2日制&朝はゆっくり13時出社♪【提案営業】 正社員,正社員,350万円～800万円
222,株式会社エージェントゲート | 定着率94%★全員Web面談実施中★年間休日130日,【インフラエンジニア】★経験の浅い方歓迎★ブランクある方もOK 正社員,正社員,264万円～600万円
223,株式会社ARIKI | 月給27万円＆賞与年3回／スピード昇格◎／新日本住設グループ,★姫路・福岡・熊本募集★【営業】条件に合う方全員と面接します 正社員,正社員,500万円～800万円
224,神明株式会社 | 創業68年☆残業月平均20h以下☆賞与年2回☆有給取得しやすい社風,【人材コーディネーター】未経験歓迎の正社員採用★社員寮あり！ 正社員,正社員,300万円～500万円
225,イノス株式会社 | 実務未経験でも高収入が狙える！★賞与年3回／基本定時退社！,アシスタントから安心スタート！【建築施工管理】★年休115日★ 正社員,正社員,350万円～600万円
226,株式会社リンカッド | 月給42万以上＋前給保証★全国各地で採用★テレワーク100％,"サービスも会社づくりも""全員参加""で挑める！【開発エンジニア】 正社員",正社員,504万円～1000万円
227,アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み土日休みも可,【小型(2t)トラックドライバー】★面接1回★高定着率★[未]歓迎 正社員,正社員,400万円～500万円
228,アートバンライン株式会社 | 大手企業と多数取引で業績好調★月8～9日休み★土日休みも可,【中型(4t)トラックドライバー】面接1回★転勤なし！安定性◎ 正社員,正社員,450万円～600万円
229,アートバンライン株式会社 | 大手企業と多数取引で業績好調★売上295億円を誇る安定企業,【大型(10t)ドライバー】★面接1回★無理のない配車調整で負担少 正社員,正社員,500万円～650万円
230,有限会社エフォール | ≪全員面接＊働き方選べます≫初期費用0円★年齢不問,『配った荷物＝あなたの給料』【軽車両ドライバー】AT限定免許OK 業務委託,業務委託,100万円～1000万円
231,株式会社ドリームホーム | AVANTIAグループ/京都屈指の業績/創業12年目で売上高170億円突破,完全反響対応の【不動産営業職】★ノルマ一切なし 正社員,正社員,300万円～500万円
232,株式会社アドシード | 設立以来、毎年黒字経営で成長中！☆年休120日以上★リモート可,20代活躍中！【営業】IT×人材で活躍◎業界・職種未経験歓迎！ 正社員,正社員,300万円～800万円
233,株式会社手なおし屋 | ★日月休み(土日休みも相談可) ★年間休日125日 ★基本定時退社,★月給30万～【営業】※稼げる仕組みあり → 平均月収40～50万円 正社員,正社員,400万円～600万円
234,株式会社IIJプロテック | 【東証一部上場グループ】昨年賞与実績年3.3ヶ月分／土日祝休み,*.★未経験OK！女性活躍中★.* 学校や公共施設への【提案営業】 正社員,正社員,350万円～500万円
235,新エネルギー計画株式会社 | ◆残業ほぼゼロ ◆完全週休2日制 ◆実働7H【入社祝金10万円】,未経験OK！エコ商材を扱う【アポインター営業】月収80万円も可！ 正社員,正社員,330万円～1000万円
236,株式会社マツイコーポレーション | 【未経験でも月給25万円以上！】大阪府緊急雇用対策に賛同,街を支える【施工管理スタッフ】国交省やNEXCOと取引／建築工事 正社員,正社員,
237,株式会社岸田 | 【延岡本社】宮崎県内から東京・大阪など”全国”を舞台に活躍,高収入×好待遇を実現◎【現場技術スタッフ】※応募者全員と面接 正社員,正社員,400万円～500万円
238,株式会社ビジョン | 異業種出身の先輩も活躍中！飲食/ホテル/不動産/教育/アパレル等,《東証一部上場》未経験から成長→高収入を実現！！【提案営業】 正社員,正社員,400万円～500万円
239,株式会社モリシン電気設備 | 週休2日／皆勤・家族手当など完備【大阪府緊急雇用対策に賛同】,経験者募集！【電気工事】前職給与を保証・月収50万円以上も可能 正社員,正社員,400万円～600万円
240,株式会社ユタカホーム | ★残業1日1H以下★転勤ナシ★定着率97％★未経験の先輩多数,【施工管理】★未経験でも月給35万円以上＋インセンティブ！ 正社員,正社員,400万円～600万円
241,UTエイム株式会社 | 【東証一部上場グループ】スキルアップ支援体制充実！,<岩手県奥州市勤務！>【半導体装置エンジニア】★未経験歓迎 正社員,正社員,350万円～500万円
242,UTエイム株式会社 | 【東証一部上場グループ】スキルアップ支援体制充実！,<三重県四日市市勤務！>【半導体装置エンジニア】★未経験歓迎 正社員,正社員,380万円～500万円
243,株式会社貴順 | ★将来のマネージャー候補募集★男女活躍中★寮制度など充実,未経験でも月30万円以上！【軽ドライバー】★意欲重視の採用 正社員,正社員,360万円～700万円
244,UTエイム株式会社 | 【東証一部上場グループ】スキルアップ支援体制充実！,<熊本県合志市勤務！>【半導体装置エンジニア】★未経験歓迎 正社員,正社員,400万円～700万円
245,積水ハウス不動産中国四国株式会社 | 【中四国トップクラスの売上高・積水ハウスグループ】賞与年3回,【不動産営業】「あなた」の力を発揮してください！※年休129日 正社員,正社員,
246,"株式会社クレス不動産 | 物件を""見つける""仕事です。未経験入社で年収1000万円も可能！",【不動産仕入営業】完全週休2日制＊ムリなく稼げる 正社員,正社員,400万円～1200万円
247,住友重機械イオンテクノロジー株式会社 | #東証一部上場 住友重機械工業グループ#充実の福利厚生,【技術系総合職(製造管理、製造技術など)】※賞与6.4ヶ月実績 正社員,正社員,350万円～700万円
248,レイス株式会社 | 国内TOPクラスの総合コンサルティング会社,【営業】企業経営者が抱える様々な課題に対して解決手段を企画！ 正社員,正社員,450万円～1050万円
249,株式会社SALTO | ベトナムに現地法人設立！グローバル展開も進めるITベンチャー,【開発エンジニア】★圧倒的なスピードで成長するITベンチャー！ 正社員,正社員,400万円～900万円
250,株式会社SALTO | ベトナムに現地法人設立！グローバル展開も進めるITベンチャー,【インフラエンジニア（PG/SE/PL/PM）】☆年休平均132日 正社員,正社員,400万円～900万円
251,株式会社STAYGOLD | 【未経験大歓迎】★100％完全反響 ★週3日休みもOK ★11時出社可,人気ブランドを扱う【反響営業】*ノルマなし*月最大50万を支給！ 正社員,正社員,300万円～800万円
252,株式会社ケニーモバイル | 首都圏でオープニングstaff募集★杉並区/関内/横須賀で地域密着,☆ネイル・髪型自由☆【受付・販売】残業ほぼなし☆完全週休2日 正社員,正社員,300万円～450万円
253,株式会社アイダ設計 | テレビCMでお馴染みの企業！成長が止まらないハウスメーカー★,将来は各店舗の責任者として活躍！注文住宅の【建築設計】 正社員,正社員,350万円～750万円
254,UTコミュニティ株式会社 | <東証一部上場グループ>年休128日★社宅費全額補助エリア多数！,【サポートスタッフ(PC入力・検品等)】未経験で月収30万円以上可 正社員,正社員,
255,株式会社日栄テック | 【大阪府緊急雇用対策に賛同】残業少なめ/20代の若手社員活躍中,★育成枠採用【施工管理】学歴不問／未経験でも月給27万円以上！ 正社員,正社員,500万円～700万円
256,関西不動産販売株式会社 | 16期連続で増収増益｜北摂エリアにてトップクラスの知名度＆実績,圧倒的な反響＝高収入を実現！【リフォーム営業】※業界未経験OK 正社員,正社員,
257,ME不動産埼京株式会社 | ＊面接1回でスピーディに採用＆内定＊残業ほぼナシ/年休120日～,埼玉TOPクラス★昨年度グループ最高益達成【不動産コンサル】 正社員,正社員,300万円～800万円
258,株式会社ガイア | 月給25万円以上！培ってきた豊富な経験を活かしませんか？,大規模プロジェクト多数【開発許認可・土木設計コンサルタント】 正社員,正社員,
259,関西不動産販売株式会社 | 16期連続で増収増益中｜固定給25万円を最低保証｜随時昇給あり,年間ボーナス1000万円の支給実績多数【不動産営業】業界未経験OK 正社員,正社員,
260,株式会社HiiizL | 【 設立以来8期連続黒字経営 】教育評価制度充実/入社祝い金あり,【イベントPR・営業】政府推奨アワード受賞／完全週休2日制 正社員,正社員,300万円～700万円
261,株式会社総合資格 | ◆業界トップクラスの実績／平均年収825万円／年間休日112日以上,賞与平均5.34ヶ月【提案営業】★群馬/新潟/長野エリア積極採用中 正社員,正社員,500万円～600万円
262,株式会社インサイト | 【東証マザーズ上場 シック・ホールディングス グループ】,家賃決済代行サービスの【提案営業】◆未経験歓迎 ◆土日祝休み 正社員,正社員,300万円～500万円
263,株式会社グランドツー | 未経験でも月給25万円以上◆年休125日～◆月の平均残業10h以内,コロナ禍で需要増大【反響営業】完休2日◆成約1件毎にインセン有 正社員,正社員,340万円～720万円
264,株式会社Kraft | 【大阪府緊急雇用対策に賛同】友達と一緒に応募大歓迎☆転勤なし,稼ぎたい方必見！！高収入の【通信工事スタッフ】※未経験大歓迎 正社員,正社員,
265,真栄建設運輸株式会社 | 【安定感ある岡本グループ】★マイナビからの採用実績複数有り！,【技術系総合職】★除雪&出張&夜勤なし！月収30万円以上も可能！ 正社員,正社員,350万円～450万円
266,光和電設株式会社 | 100%直請け★アパホテルやドン・キホーテ、コメリなどの実績多数,"技術よりも""温かい心""を持った方を採用します！【 電気工事士 】 正社員",正社員,
267,富士レッカー株式会社 | 大阪府緊急雇用対策に賛同｜ 土日祝休み｜残業少なめ,★ノルマなし★【ルート営業】※未経験でも月給26万円以上を確約 正社員,正社員,
268,株式会社九州エネコ | 年休120日以上/完休2日制/転勤なし/社員寮あり/平均月収70万円,"『年収1,000万円』は通過点。【エコプランナー】※学歴一切不問 正社員",正社員,400万円～750万円
269,UTグループ株式会社 | 東証一部上場／ご当地グルメが満載！東海・北陸で働く,【キャリアマネージャー(人材管理/育成等)】★東海・北陸限定 正社員,正社員,350万円～800万円
270,UTグループ株式会社 | 東証一部上場／お米のおいしい東北、魚介がおいしい北海道で働く,【キャリアマネージャー(人材管理/育成等)】★北海道・東北限定 正社員,正社員,350万円～800万円
271,株式会社京進 | 東証二部上場,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員",契約社員,
272,UTエイム株式会社 | 【東証一部上場グループ】スキルアップ支援体制充実！,<富山市勤務！>【半導体装置エンジニア】★未経験歓迎 正社員,正社員,400万円～700万円
273,株式会社MARUEI | 土日祝休み＊選べる案件＊”働きやすく稼げる環境”を実現！,【施工ディレクター】経験者優遇／月給35万円～／直行直帰OK 正社員,正社員,450万円～800万円
274,株式会社イケウチ | 首都圏に6店舗展開の優良企業／上場を視野に成長中！,【技術スタッフ】自動車板金・塗装※未経験・第二新卒歓迎 正社員,正社員,300万円～500万円
275,株式会社ライフ東京 | 完全週休2日制／今年1月にオフィス増設／年3回8日間以上の休み有,"【不動産営業】1年目で年収1,500万円以上も可能★未経験歓迎！ 正社員",正社員,600万円～1500万円
276,ウィンクルム株式会社 | 【大阪府緊急雇用対策に賛同】※土日祝日休み／月給25万円以上,キャッシュレス決済サービスの【コンサルティング営業】土日祝休 正社員,正社員,
277,株式会社エス・エル・エス福岡 | 総合レジャーサービスグループ(九州全県、広島県に35店舗展開),未経験OK【経営戦略・企画】店舗開発や経営まで幅広く経験できる 正社員,正社員,600万円～800万円
278,株式会社ウィディオ | 大手サブコンのパートナー企業として安定成長,居心地の良さプライスレス【電気工事スタッフ】★未経験歓迎 正社員,正社員,
279,ウィンクルム株式会社 | ***土日祝日休み／未経験歓迎*** 【大阪府緊急雇用対策に賛同】,フードデリバリーサービスの【提案営業】※土日祝休／月給25万円 正社員,正社員,
280,株式会社ハマエンジニアリング | 【TV＆WEBCM絶賛放映中！】未経験者大歓迎／有給取得率88.8%,【 点検スタッフ 】半導体の製造を支えるやりがいあるお仕事です 正社員,正社員,
281,株式会社インフィライズ | ☆全国募集☆【建設業界の技術者に特化した人材サービスを展開】,案件や働き方の理想が叶う！【施工管理】★入社祝い金最大10万円 正社員,正社員,360万円～960万円
282,株式会社ファースト | 【不況知らずのカスタムカー専門店】＊平均年収600万円以上！,往年の名車続々！【カーアドバイザー】＊未経験OK・残業ほぼなし 正社員,正社員,450万円～650万円
283,株式会社ＡｐｐＤａｔｅ　Ｈｏｌｄｉｎｇｓ | <急成長企業で活躍>★面接1回・人物重視の採用★土日祝休み,未経験歓迎！オフィス機器の【Web企画営業】★残業月20時間ほど 正社員,正社員,350万円～400万円
284,株式会社京進 | 東証二部上場,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー,FCオーナー,
285,株式会社ビッグバンズ | 平均月収30万円～50万円！確かな教育 × 稼げるインセンティブ,★未経験OK ★あなたの理想を叶えるチャンス！【営業】 正社員,正社員,
286,さくら観光バス株式会社 | 【最新バス多数所持】地域密着の優良バス会社,【高速バスの運転士】／残業月20h以下／初年から月収40万円可 正社員,正社員,360万円～480万円
287,株式会社福森商会 | 創業約80年／業界トップクラスの安定企業！★年休110日~(土日祝),【メンテナンススタッフ】★若手活躍中・賞与計7ヶ月分の実績有 正社員,正社員,300万円～500万円
288,株式会社ネクスト21 | <東京大学や理化学研究所と共同研究>土日祝休み/年間休日120日～,"ライフサイエンス系総合職(薬事申請/再生医療人工骨の開発,製造) 正社員",正社員,
289,和韓居酒屋 志 | #コロナ禍でも業績好調#新ビジネスを展開しよう!#役員も目指せる,一緒に新たなビジネスを発信しよう！飲食店の【店長・幹部候補】 正社員,正社員,300万円～500万円
290,株式会社CRUD nop | ECサイト/動画配信/ゲーム等のWebシステムを手掛ける成長企業,"次は""したいこと""重視でいこう【ITエンジニア】★前給保障！ 正社員",正社員,350万円～900万円
291,株式会社エヴァ・ライフ | ＼ 高収入が目指せます ／インセンティブが10万円を超える月も?!,今後ますますの拡大が期待される【 福祉用具のルート営業 】 正社員,正社員,
292,リアルティ株式会社 | 毎月インセン&賞与年2回★産休育休・時短勤務等、長く働ける環境,【中古住宅仕入・用地仕入】未経験歓迎／最短で収入UP・昇格！ 正社員,正社員,400万円～800万円
293,株式会社ゲッコー | 直行直帰可能！転勤ナシで地元で働ける＊業界経験者歓迎,20代の平均月収＝約43万円★実働6h＆残業ナシ【技術系総合職】 正社員,正社員,350万円～650万円
